,class_name,hp_growth,s_or_m_growth,skl_growth,spd_growth,def_growth,res_growth,lck_growth,game,total_growths
38,Pegasus Knight,65,35,40,40,12,25,35,binding blade,252
39,Falcon Knight,60,30,30,30,12,20,30,binding blade,212
40,Wyvern Rider (M),80,45,35,30,25,10,25,binding blade,250
42,Wyvern Rider (F),80,45,35,30,25,10,25,binding blade,250
43,Wyvern Lord (M),75,40,30,20,20,7,20,binding blade,212
44,Wyvern Lord (F),75,40,30,20,20,7,20,binding blade,212
45,Mage (M),55,55,40,35,5,35,20,binding blade,245
46,Mage (F),55,55,40,35,5,35,20,binding blade,245
47,Sage (M),45,45,30,25,10,25,15,binding blade,195
48,Sage (F),45,45,30,25,10,25,15,binding blade,195
49,Shaman (M),50,50,32,30,10,37,20,binding blade,229
50,Shaman (F),50,45,32,30,10,37,20,binding blade,224
51,Druid (M),45,55,30,25,10,27,20,binding blade,212
52,Druid (F),45,55,30,25,10,27,20,binding blade,212
53,Priest (M),50,30,35,32,8,50,45,binding blade,250
54,Priest (F),50,30,35,32,8,50,45,binding blade,250
55,Bishop (M),45,35,25,22,8,40,40,binding blade,215
56,Bishop (F),45,35,25,22,8,40,40,binding blade,215
57,Troubadour,50,25,35,55,12,30,45,binding blade,252
58,Valkyria,45,35,25,45,10,20,40,binding blade,220
59,Mamkute (M),95,40,30,20,0,10,25,binding blade,220
60,Mamkute (F),95,40,30,20,0,10,25,binding blade,220
61,Fire Dragon,95,40,30,20,0,10,25,binding blade,220
63,Divine Dragon,95,45,30,25,55,10,25,binding blade,285
64,Demon Dragon,10,0,0,0,0,0,0,binding blade,10
65,Child (M),10,0,0,0,0,0,0,binding blade,10
66,Child (F),10,0,0,0,0,0,0,binding blade,10
67,Civilian (M),10,0,0,0,0,0,0,binding blade,10
68,Civilian (F),10,0,0,0,0,0,0,binding blade,10
69,King,10,0,0,0,0,0,0,binding blade,10
0,Archer (F),70,35,40,32,15,20,35,blazing blade,247
1,Archer (M),70,35,40,32,15,15,35,blazing blade,242
2,Archsage,45,45,30,25,10,35,15,blazing blade,205
3,Assassin,50,5,45,40,5,20,40,blazing blade,205
4,Bard,45,45,30,60,0,13,70,blazing blade,263
5,Berserker,75,50,35,25,10,13,15,blazing blade,223
6,Bishop (F),45,35,25,22,8,50,40,blazing blade,225
7,Bishop (M),45,35,25,22,8,40,40,blazing blade,215
8,Blade Lord,90,45,40,45,15,12,40,blazing blade,287
9,Brigand,82,50,30,20,10,13,15,blazing blade,220
10,Cavalier (F),75,35,40,28,15,15,30,blazing blade,238
11,Cavalier (M),75,35,40,28,15,15,30,blazing blade,238
12,Civilian,10,0,0,0,0,10,0,blazing blade,20
13,Cleric,50,30,35,32,8,50,45,blazing blade,250
14,Corsair,75,50,35,25,10,13,15,blazing blade,223
15,Dancer,45,45,30,60,0,13,70,blazing blade,263
16,Dark Druid,45,55,30,25,10,35,20,blazing blade,220
17,Druid (F),45,55,30,25,10,35,20,blazing blade,220
18,Druid (M),45,55,30,25,10,35,20,blazing blade,220
19,Falcon Knight,60,30,30,30,12,30,30,blazing blade,222
21,Fighter,85,55,35,30,15,15,15,blazing blade,250
22,Fire Dragon,95,40,30,20,0,20,25,blazing blade,230
23,General (F),75,30,25,10,23,25,20,blazing blade,208
24,General (M),75,30,20,10,23,25,20,blazing blade,203
25,Great Lord,90,45,40,45,15,20,40,blazing blade,295
26,Hero (F),75,30,30,20,20,20,25,blazing blade,220
27,Hero (M),75,30,30,20,20,20,25,blazing blade,220
28,Knight (F),80,40,30,15,28,20,25,blazing blade,238
29,Knight (M),80,40,30,15,28,20,25,blazing blade,238
30,Knight Lord,90,45,40,45,15,15,40,blazing blade,290
31,Lord (Eliwood),90,45,40,45,15,15,40,blazing blade,290
32,Lord (Hector),90,45,40,45,15,12,40,blazing blade,287
33,Lord (Lyn),90,45,40,45,15,20,40,blazing blade,295
34,Mage (F),55,55,40,35,5,40,20,blazing blade,250
35,Mage (M),55,55,40,35,5,30,20,blazing blade,240
36,Magic Seal,45,45,30,25,10,35,15,blazing blade,205
37,Mercenary (F),80,40,40,32,18,30,30,blazing blade,270
38,Mercenary (M),80,40,40,32,18,20,30,blazing blade,260
39,Monk,50,30,35,32,8,40,45,blazing blade,240
40,Myrmidon (F),70,35,40,40,15,20,30,blazing blade,250
41,Myrmidon (M),70,35,40,40,15,20,30,blazing blade,250
43,Nomad Trooper (F),60,25,30,35,15,20,25,blazing blade,210
44,Nomad Trooper (M),60,25,30,35,15,15,25,blazing blade,205
45,Nomad (F),65,30,40,45,12,15,30,blazing blade,237
46,Nomad (M),65,30,40,45,12,15,30,blazing blade,237
47,Paladin (F),70,25,35,25,12,25,25,blazing blade,217
48,Paladin (M),70,25,30,18,12,20,25,blazing blade,200
49,Pegasus Knight,65,35,40,40,12,35,35,blazing blade,262
50,Pirate,75,50,35,25,10,13,15,blazing blade,223
51,Prince,10,0,0,0,0,10,0,blazing blade,20
52,Sage (Limstella),45,45,30,25,10,40,15,blazing blade,210
53,Sage (F),45,45,30,25,10,40,15,blazing blade,210
54,Sage (M),45,45,30,25,10,40,15,blazing blade,210
55,Shaman (F),50,45,32,30,10,40,20,blazing blade,227
56,Shaman (M),50,50,32,30,10,30,20,blazing blade,222
57,Sniper (F),65,30,30,20,15,25,30,blazing blade,215
58,Sniper (M),65,30,30,20,15,20,30,blazing blade,210
59,Soldier,80,50,30,20,12,15,25,blazing blade,232
60,Swordmaster (F),65,25,30,30,15,22,25,blazing blade,212
61,Swordmaster (M),65,25,30,30,15,22,25,blazing blade,212
62,Thief (F),45,5,45,40,5,25,40,blazing blade,205
64,Thief (M),50,5,45,40,5,20,40,blazing blade,205
65,Transporter (Wagon),10,0,0,0,0,10,0,blazing blade,20
66,Transporter (Tent),10,0,0,0,0,10,0,blazing blade,20
67,Troubadour,50,25,35,55,12,40,45,blazing blade,262
68,Valkyie,45,35,25,45,10,40,40,blazing blade,240
69,Warrior,80,45,25,20,16,17,15,blazing blade,218
70,Wyvern Lord (F),75,40,30,20,20,17,20,blazing blade,222
71,Wyvern Lord (M),75,40,30,20,20,17,20,blazing blade,222
72,Wyvern Rider (F),80,45,35,30,25,17,25,blazing blade,257
73,Wyvern Rider (M),80,45,35,30,25,15,25,blazing blade,255
0,Lord (M),90,45,40,45,15,15,40,sacred stones,290
1,Lord (F),90,45,40,45,15,20,40,sacred stones,295
2,Great Lord (M),90,45,40,45,15,15,40,sacred stones,290
3,Great Lord (F),90,45,40,45,15,20,40,sacred stones,295
4,Dancer,45,45,30,60,0,13,70,sacred stones,263
5,Soldier,80,50,30,20,12,15,25,sacred stones,232
6,Cavalier (M),75,35,40,28,15,15,30,sacred stones,238
7,Cavalier (F),75,35,40,28,15,15,30,sacred stones,238
8,Paladin (M),70,25,30,18,12,20,25,sacred stones,200
9,Paladin (F),70,25,35,25,12,25,25,sacred stones,217
10,Great Knight (M),70,30,20,15,21,20,20,sacred stones,196
11,Great Knight (F),70,30,25,20,21,22,20,sacred stones,208
12,Knight (M),80,40,30,15,28,20,25,sacred stones,238
13,Knight (F),80,40,30,15,28,20,25,sacred stones,238
14,General (M),75,30,20,10,23,25,20,sacred stones,203
15,General (F),75,30,25,10,23,25,20,sacred stones,208
16,Mercenary (M),80,40,40,32,18,20,30,sacred stones,260
17,Mercenary (F),80,40,40,32,18,30,30,sacred stones,270
18,Hero (M),75,30,30,20,20,20,25,sacred stones,220
19,Hero (F),75,30,30,20,20,20,25,sacred stones,220
21,Myrmidon (M),70,35,40,40,15,20,30,sacred stones,250
22,Myrmidon (F),70,35,40,40,15,20,30,sacred stones,250
23,Swordmaster (M),65,25,30,30,15,22,25,sacred stones,212
24,Swordmaster (F),65,25,30,30,15,22,25,sacred stones,212
25,Assassin (M),50,5,45,40,5,20,40,sacred stones,205
26,Assassin (F),50,5,45,40,5,20,40,sacred stones,205
27,Thief,50,5,45,40,5,20,40,sacred stones,205
28,Rogue,50,10,45,35,5,20,40,sacred stones,205
29,Archer (M),70,35,40,32,15,15,35,sacred stones,242
30,Archer (F),70,35,40,32,15,20,35,sacred stones,247
31,Sniper (M),65,30,30,20,15,20,30,sacred stones,210
32,Sniper (F),65,30,30,20,15,25,30,sacred stones,215
33,Ranger (M),60,25,30,35,15,15,25,sacred stones,205
34,Ranger (F),60,25,30,35,15,20,25,sacred stones,210
35,Wyvern Rider (M),80,45,35,30,25,15,25,sacred stones,255
36,Wyvern Rider (F),80,45,35,30,25,17,25,sacred stones,257
37,Wyvern Lord (M),75,40,30,20,20,17,20,sacred stones,222
38,Wyvern Lord (F),75,40,30,20,20,17,20,sacred stones,222
39,Wyvern Knight (M),65,35,30,30,15,17,25,sacred stones,217
40,Wyvern Knight (F),65,35,30,30,15,20,25,sacred stones,220
42,Mage (M),55,55,40,35,5,30,20,sacred stones,240
43,Mage (F),55,55,40,35,5,40,20,sacred stones,250
44,Sage (M),45,45,30,25,10,40,15,sacred stones,210
45,Sage (F),45,45,30,25,10,40,15,sacred stones,210
46,Mage Knight (M),45,40,30,40,10,40,30,sacred stones,235
47,Mage Knight (F),45,40,30,40,10,40,40,sacred stones,245
48,Monk,50,30,35,32,8,40,45,sacred stones,240
49,Priest,50,30,35,32,8,50,45,sacred stones,250
50,Cleric,50,30,35,32,8,50,45,sacred stones,250
51,Bishop (M),45,35,25,22,8,40,40,sacred stones,215
52,Bishop (F),45,35,25,22,8,50,40,sacred stones,225
53,Shaman (M),50,50,32,30,10,30,20,sacred stones,222
54,Shaman (F),50,45,32,30,10,40,20,sacred stones,227
55,Druid (M),45,55,30,25,10,35,20,sacred stones,220
56,Druid (F),45,55,30,25,10,35,20,sacred stones,220
57,Summoner (M),45,50,30,25,8,35,20,sacred stones,213
58,Summoner (F),45,50,30,25,8,35,20,sacred stones,213
59,Journeyman (all),85,55,40,32,18,20,40,sacred stones,290
60,Recruit (all),75,45,40,40,25,35,40,sacred stones,300
61,Pupil (all),55,55,40,35,10,30,40,sacred stones,265
63,Manakete (M),95,40,30,20,0,10,25,sacred stones,220
64,Manakete (F),95,40,30,20,0,10,25,sacred stones,220
65,Fighter,85,55,35,30,15,15,15,sacred stones,250
66,Warrior,80,45,25,20,16,17,15,sacred stones,218
67,Brigand,82,50,30,20,10,13,15,sacred stones,220
68,Pirate,75,50,35,25,10,13,15,sacred stones,223
69,Berserker,75,50,35,25,10,13,15,sacred stones,223
70,Pegasus Knight,65,35,40,40,12,35,35,sacred stones,262
71,Falcon Knight,60,30,30,30,12,30,30,sacred stones,222
72,Troubadour,50,25,35,55,12,40,45,sacred stones,262
73,Valkyrie,45,35,25,45,10,40,40,sacred stones,240
74,Necromancer,45,55,30,25,10,35,20,sacred stones,220
75,Fleet,75,35,40,32,15,15,15,sacred stones,227
76,Phantom,0,55,35,45,15,15,50,sacred stones,215
77,Revenant,95,50,30,20,10,13,10,sacred stones,228
78,Entombed,85,40,25,17,10,13,50,sacred stones,240
79,Bonewalker (melee),80,50,30,20,12,15,10,sacred stones,217
80,Bonewalker (bow),70,35,40,32,15,15,10,sacred stones,217
81,Wight (melee),65,25,25,20,15,22,10,sacred stones,182
82,Weight (bow),65,30,30,20,15,20,10,sacred stones,190
84,Bael,82,50,30,20,18,13,15,sacred stones,228
85,Elder Bael,85,45,25,20,21,17,10,sacred stones,223
86,Cyclops,95,30,35,25,24,25,10,sacred stones,244
87,Mauthedoog,70,35,45,45,15,20,30,sacred stones,260
88,Gwyllgi,65,28,35,35,16,22,25,sacred stones,226
89,Tarvos,80,35,40,28,15,15,10,sacred stones,223
90,Maelduin,75,30,30,18,13,20,10,sacred stones,196
91,Mogall,50,45,32,30,10,28,30,sacred stones,225
92,Arch Mogall,45,55,30,25,10,28,20,sacred stones,213
93,Gorgon Egg,100,0,0,0,0,0,0,sacred stones,100
94,Gorgon,45,60,30,25,10,40,30,sacred stones,240
95,Gargoyle,80,45,35,35,25,15,10,sacred stones,245
96,Deathgoyle,75,40,30,25,20,17,10,sacred stones,217
97,Dracozombie,85,35,20,20,30,10,25,sacred stones,225
98,Demon King,95,40,30,20,20,20,25,sacred stones,250
99,Civilian,10,0,0,0,0,10,0,sacred stones,20
100,Pontifex,10,0,0,0,0,10,0,sacred stones,20
