base_class,promoted_class,hp_gain,s_or_m_gain,skl_gain,spd_gain,def_gain,res_gain,con_gain,mov_gain,game,total_gains
Monk,Bishop (M),3,2,1,0,3,2,1,1,sacred stones,13
Monk,Sage (M),4,1,0,0,3,3,1,1,sacred stones,13
Cleric,Bishop (F),3,1,2,1,2,2,1,1,sacred stones,13
Cleric,Valkyrie,3,2,1,0,2,3,2,2,sacred stones,15
Journeyman,Fighter,2,2,1,0,0,1,3,1,sacred stones,10
Journeyman,Pirate,2,2,0,1,1,0,2,1,sacred stones,9
Journeyman,Journeyman (2),2,0,2,0,2,2,0,1,sacred stones,9
Fighter,Warrior,3,1,2,0,3,3,2,1,sacred stones,15
Fighter,Hero,4,1,2,2,2,2,0,1,sacred stones,14
Pirate,Berserker,4,1,1,1,2,2,3,1,sacred stones,15
Pirate,Warrior,3,1,2,0,3,3,3,1,sacred stones,16
Journeyman (2),Hero,4,1,2,2,2,2,3,1,sacred stones,17
Journeyman (2),Journeyman (3),4,1,2,2,2,2,0,1,sacred stones,14
Pegasus Knight,Falcoknight,5,2,0,2,2,2,1,1,sacred stones,15
Pegasus Knight,Wyvern Knight (F),3,2,1,2,1,1,4,1,sacred stones,15
Troubadour,Valkyrie,3,2,1,0,2,3,1,1,sacred stones,13
Troubadour,Mage Knight (F),3,2,1,0,2,2,1,1,sacred stones,12
